Id,SalePrice
1461,138399.83
1462,173022.4
1463,224651.53
1464,217991.73
1465,178393.03
1466,191857.42
1467,195850.56
1468,178055.14
1469,199049.75
1470,140829.83
1471,216790.33
1472,94784.22
1473,107453.25
1474,151163.16
1475,100880.24
1476,345865.78
1477,254285.94
1478,272586.38
1479,283231.78
1480,592711.1
1481,350217.53
1482,201163.06
1483,206964.39
1484,161060.64
1485,177204.06
1486,207725.89
1487,359442.28
1488,249550.08
1489,201327.92
1490,257535.75
1491,208849.38
1492,101868.086
1493,189913.6
1494,302624.16
1495,318604.03
1496,241239.4
1497,198445.5
1498,154827.75
1499,148705.1
1500,152310.67
1501,181088.12
1502,139963.69
1503,288155.53
1504,242651.06
1505,243760.2
1506,222484.45
1507,335528.78
1508,245536.66
1509,169830.75
1510,165447.61
1511,167816.81
1512,198227.98
1513,158016.27
1514,220162.92
1515,251993.75
1516,156804.38
1517,171017.88
1518,172732.89
1519,252586.81
1520,143156.62
1521,153390.53
1522,175906.06
1523,127028.61
1524,121975.27
1525,130313.52
1526,127432.44
1527,120089.72
1528,144290.97
1529,146647.11
1530,191342.52
1531,117030.38
1532,102244.94
1533,153199.03
1534,125226.07
1535,181559.86
1536,123340.836
1537,102544.54
1538,138898.45
1539,181937.19
1540,150325.19
1541,153634.73
1542,166156.31
1543,184523.86
1544,89547.11
1545,108342.82
1546,123866.09
1547,129107.56
1548,130915.414
1549,128116.766
1550,135967.0
1551,119209.61
1552,147902.31
1553,143909.2
1554,110354.27
1555,196332.47
1556,100028.57
1557,135124.58
1558,100144.93
1559,121483.75
1560,139496.08
1561,196426.86
1562,133880.36
1563,127976.46
1564,201864.72
1565,160905.89
1566,253618.72
1567,95736.29
1568,261896.88
1569,172928.2
1570,136921.2
1571,125189.41
1572,164455.62
1573,278061.3
1574,150840.3
1575,240037.36
1576,277822.72
1577,193028.53
1578,137820.3
1579,172083.75
1580,209648.02
1581,158372.45
1582,132295.75
1583,368224.2
1584,251249.39
1585,149757.1
1586,86496.71
1587,100422.0
1588,165207.02
1589,119015.945
1590,144202.92
1591,108195.48
1592,136317.42
1593,107194.305
1594,169447.52
1595,133200.55
1596,218036.02
1597,213963.05
1598,200681.16
1599,160250.9
1600,165301.58
1601,86823.0
1602,121894.21
1603,87453.41
1604,264779.7
1605,261278.94
1606,182679.94
1607,254334.67
1608,220276.95
1609,191352.73
1610,169374.48
1611,157143.89
1612,211875.66
1613,205771.94
1614,114919.81
1615,92814.78
1616,93055.31
1617,106386.49
1618,133880.88
1619,145984.6
1620,252791.42
1621,166634.44
1622,161142.38
1623,277741.94
1624,261692.4
1625,130048.336
1626,197317.38
1627,222355.06
1628,306847.06
1629,176550.75
1630,415708.4
1631,210546.86
1632,244571.92
1633,163809.31
1634,207778.58
1635,190112.2
1636,166125.73
1637,226475.67
1638,212214.17
